Category,Feature,Description,Status,Differentiator
Performance,Dirty Region Tracking,Only re-render changed terminal regions — saves GPU cycles on partial updates,Shipped,Yes
Performance,Feature Profiler,Per-feature timing metrics with os.signpost integration for performance analysis,Shipped,No
AI Detection,AI Agent Auto-Detection,"Instantly recognizes Claude Code, Gemini CLI, Codex, ChatGPT, GitHub Copilot, Aider, Cursor",Shipped,Yes
AI Detection,Branded Tab Logos,Each detected AI agent gets its branded logo displayed in the tab,Shipped,Yes
AI Detection,Auto Tab Theming,Tabs automatically adopt the brand color of the active AI agent,Shipped,Yes
AI Detection,Custom Detection Rules,Define custom patterns to detect and theme any CLI tool with display name and tab color,Shipped,Yes
AI Detection,Command Line Tokenization,"Smart detection with wrapper skipping (env, sudo, npx, bunx, pnpm)",Shipped,Yes
AI Detection,Output Banner Detection,"Detect AI tools from output banners — command-based detection gates output scanning to prevent false positives",Shipped,Yes
AI Integration,LLM Error Explanation,"One-click error analysis via OpenAI, Anthropic, Ollama, or custom endpoint — plain-language root cause and fix suggestions",Shipped,Yes
AI Integration,Claude Code Deep Integration,"Monitor Claude Code hook events: prompts, tools, permissions, responses — first-class agentic workflow support",Shipped,Yes
AI Integration,AI Event Notifications,"Notifications for finished, failed, permission, needs_validation, tool_complete, session_end, idle, and related AI events; default AI policy enables only finished, failed, and permission requests",Shipped,Yes
AI Integration,Provider Adapter Notification Layer,"Provider-specific events are translated into one shared semantic notification model before settings, history, styling, and delivery run",Shipped,Yes
AI Integration,Full-Source Canonical Notification Adapters,"Shell, app, terminal-session, history-monitor, events-log, and API-proxy events now pass through the same canonical adapter boundary instead of bypassing the shared notification model",Shipped,Yes
AI Integration,Canonical Provider Event Normalization,"Provider hook names normalize through one shared mapper that preserves semantic separators so values like permission prompt idle-prompt and auth success resolve to the same canonical trigger keys",Shipped,Yes
AI Integration,Claude Hook Notification Ownership,"Claude notification hooks own waiting-input and attention-required delivery; raw response_complete stays state-only",Shipped,Yes
AI Integration,Authoritative Notification Routing,"Runtime and hook-backed finished failed and permission events take priority, while history-derived events act only as fallback and are suppressed after an authoritative delivery for the same session or tab",Shipped,Yes
AI Integration,Retry-Before-Fallback Delivery,"Authoritative AI events retry exact tab routing before broader fallback matching to reduce missed highlights and startup restore races",Shipped,Yes
AI Integration,Simplified AI Notification Settings,"AI-first notification overview for Finished Failed and Permission Request with direct banner tab highlight sound and dock bounce controls; advanced trigger and per-tool rules remain available",Shipped,Yes
AI Integration,Semantic AI Attention Controls,"Waiting-input and attention-required states are managed as needs-me attention instead of being grouped under generic finished events",Shipped,Yes
AI Integration,Notification Delivery Ledger,"Each AI notification records delivery state, coalescing, retries, drop reasons, resolved tab identity, and banner or style outcomes for deterministic debugging",Shipped,Yes
AI Integration,Canonical Notification Ledger Ingress,"Provider events are canonicalized before the delivery ledger and coalescing queue record them, so shared history and timeline surfaces use canonical semantics with raw-type notes retained for debugging",Shipped,Yes
AI Integration,Single Notification Ingress Handoff,"Unified event publication and notification delivery now share one accepted-event handoff so events are canonicalized once before they are displayed and delivered",Shipped,Yes
AI Integration,Strict Notification Delivery Boundaries,"Notification ingress flows through one shared contract and tab-targeting actions only execute with an explicit resolved tabID, eliminating late overlay re-resolution and NotificationCenter side-channel delivery",Shipped,Yes
AI Integration,Restore Prefill Notification Suppression,"System resume prefills do not generate prompt-return waiting-input notifications during launch or restore; fallback attention resumes only after the next real user command",Shipped,Yes
AI Integration,Restored Session Fallback Lock,"Restored AI tabs suppress prompt-return waiting-input fallback as soon as provider metadata is restored, preventing startup highlights before resume-prefill delivery",Shipped,Yes
AI Integration,Deterministic Notification Action Outcomes,"Notification delivery records whether focus style badge and snippet actions actually succeeded instead of assuming success once requested, making logs and ledger entries fully explainable",Shipped,Yes
AI Integration,Runtime Session Startup,"MCP-created runtime sessions transition to ready after launch, and attach_tab_id sessions start usable immediately",Shipped,Yes
MCP Server,MCP Command Filter Hardening,"Permission checks parse background separators, tabs, and newlines before applying allow/block/approval rules",Shipped,Yes
MCP Server,Backend Launch Environment Validation,"Runtime backend launch strings drop invalid environment variable names before shell interpolation",Shipped,Yes
AI Integration,History Monitor Tab Routing,"History-monitor idle and finished events resolve provider session metadata to recover the working directory before notification routing",Shipped,Yes
AI Integration,Session-Aware Tab Resolution,"Notification routing prefers exact AI session ID matches before broader provider and title heuristics",Shipped,Yes
AI Integration,File Conflict Events,Newly detected cross-tab file conflicts emit app events for each affected tab,Shipped,Yes
AI Integration,AI Event Log Tailing,Real-time tailing of ~/.ai-events.log for AI tool events,Shipped,No
AI Integration,PTY Output Logging,Capture raw terminal output for AI tool sessions (codex-pty and claude-pty logs),Shipped,No
AI Integration,Codex Session Resolver,Maps Codex OpenAI capture sessions to working directories with LRU caching,Shipped,Yes
AI Integration,Context Token Optimization (CTO),Monitor and optimize LLM API token usage in real time — per tab or globally,Shipped,Yes
AI Integration,CTO Runtime Monitor,"Real-time CTO metrics: decision counts, mode changes, deferred operations, health assessment",Shipped,Yes
AI Integration,CTO Flag Manager,Manages per-tab CTO flag files that AI tools read to adjust context behavior,Shipped,Yes
History,Persistent History Clear Ordering,History maintenance operations serialize on the DB queue so queued async inserts cannot repopulate after `clearAll()`; regression tests cover the race,Shipped,No
MCP Server,Built-in MCP Server,"Embedded JSON-RPC 2.0 server on Unix socket (~/.chau7/mcp.sock) — AI agents can control your terminal",Shipped,Yes
MCP Server,MCP Protocol v2024-11-05,Full MCP protocol compliance with tools and resources capabilities,Shipped,Yes
MCP Server,MCP Bridge Binary,"Stdio-to-socket bridge binary installed at ~/.chau7/bin/chau7-mcp-bridge for standard MCP client compatibility",Shipped,Yes
MCP Server,Auto-Registration: Claude Code,Automatically registers Chau7 MCP server in ~/.claude.json when Claude Code is installed,Shipped,Yes
MCP Server,Auto-Registration: Cursor,Automatically registers in ~/.cursor/mcp.json when Cursor is installed,Shipped,Yes
MCP Server,Auto-Registration: Windsurf,Automatically registers in ~/.codeium/windsurf/mcp_config.json when Windsurf is installed,Shipped,Yes
MCP Server,Auto-Registration: Codex,Automatically registers in ~/.codex/config.toml when Codex config exists,Shipped,Yes
MCP Server,MCP Enable/Disable Toggle,Global on/off toggle for the MCP server (mcpEnabled setting),Shipped,No
MCP Server,MCP Approval Gate,Optional approval dialog before MCP operations touch your terminal (mcpRequiresApproval),Shipped,No
MCP Server,MCP Tab Limit,Configurable maximum MCP-created tabs per session (default 4 — hard cap 50),Shipped,No
MCP Server,MCP Tab Indicator,Purple indicator badge on MCP-controlled tabs (mcpShowTabIndicator),Shipped,No
MCP Tools — Tab Management,tab_list,"List all open tabs across all windows with status, cwd, git branch, CTO state, active app",Shipped,Yes
MCP Tools — Tab Management,tab_create,"Open a new terminal tab with optional directory and target window — respects approval gate and tab limit",Shipped,Yes
MCP Tools — Tab Management,tab_exec,"Execute a shell command in a tab — auto-queues if shell is still loading, checks prompt state",Shipped,Yes
MCP Tools — Tab Management,tab_status,"Detailed tab status: process state, child processes (PID/CPU/RSS), active telemetry run, git branch",Shipped,Yes
MCP Tools — Tab Management,tab_send_input,"Send raw input to terminal for interactive prompts and confirmations — no auto-newline",Shipped,Yes
MCP Tools — Tab Management,tab_press_key,"Send terminal key presses for interactive TUIs — Enter, Escape, arrows, backspace, delete, paging keys, and ctrl/alt combos",Shipped,Yes
MCP Tools — Tab Management,tab_submit_prompt,Submit the current interactive prompt by sending Enter as a key press,Shipped,Yes
MCP Tools — Tab Management,tab_close,Close a tab with optional force flag — checks for running processes before closing,Shipped,Yes
MCP Tools — Tab Management,tab_output,"Get terminal output (max 10000 lines, 512KB cap). source=pty_log returns full ANSI-stripped AI session. wait_for_stable_ms polls buffer.",Shipped,Yes
MCP Tools — Tab Management,tab_set_cto,"Set per-tab CTO override (default/forceOn/forceOff) — recalculates flag files and records decision",Shipped,Yes
MCP Tools — Telemetry,run_get,Get a single telemetry run by ID (active or from store),Shipped,Yes
MCP Tools — Telemetry,run_list,"List telemetry runs with filters: session_id, repo_path, provider, date range, tags, limit/offset",Shipped,Yes
MCP Tools — Telemetry,run_tool_calls,Get all tool calls for a telemetry run — see exactly what an AI agent did,Shipped,Yes
MCP Tools — Telemetry,run_transcript,"Get conversation transcript for a run — falls back to ANSI-stripped PTY log for TUI tools, then terminal buffer",Shipped,Yes
MCP Tools — Telemetry,run_tag,Set tags on a telemetry run for organization and filtering,Shipped,Yes
MCP Tools — Telemetry,run_latest_for_repo,Get the most recent run for a repository — optionally filter by provider,Shipped,Yes
MCP Tools — Telemetry,session_list,"List AI sessions with run counts — filter by repo_path, active_only",Shipped,Yes
MCP Tools — Telemetry,session_current,Get currently active AI sessions across all tabs,Shipped,Yes
MCP Tools — Runtime,runtime_session_create,Start or attach an agent session in Chau7 and return a runtime session ID,Shipped,Yes
MCP Tools — Runtime,runtime_session_list,List runtime sessions with optional inclusion of recently stopped sessions,Shipped,Yes
MCP Tools — Runtime,runtime_session_get,Get detailed state for a single runtime session,Shipped,Yes
MCP Tools — Runtime,runtime_session_stop,Stop a runtime session and optionally close its tab,Shipped,Yes
MCP Tools — Runtime,runtime_turn_send,Send a formatted prompt to a runtime session including adopted sessions discovered from existing tabs,Shipped,Yes
MCP Tools — Runtime,runtime_turn_status,Get the current turn state for a runtime session,Shipped,Yes
MCP Tools — Runtime,runtime_events_poll,Poll the runtime event stream using a cursor,Shipped,Yes
MCP Tools — Runtime,runtime_approval_respond,Approve or deny a pending runtime tool-use request,Shipped,Yes
MCP Resources,chau7://telemetry/runs,Read-only resource: latest 20 telemetry run summaries,Shipped,No
MCP Resources,chau7://telemetry/sessions,Read-only resource: AI session index with metadata,Shipped,No
MCP Resources,chau7://telemetry/sessions/current,Read-only resource: currently active AI sessions,Shipped,No
MCP Resources,chau7://telemetry/runs/<run_id>,Dynamic resource: specific run details by ID,Shipped,No
API Analytics,API Call Logging,"Capture every LLM API call — tokens in/out, cost, latency, model, endpoint",Shipped,Yes
API Analytics,TLS/WSS Proxy,"Go-based proxy (chau7-proxy) intercepts API calls to Claude, OpenAI, Gemini, Anthropic with TLS and WebSocket support",Shipped,Yes
API Analytics,Token Counting & Cost Calculation,Count input/output tokens per call and calculate aggregate cost,Shipped,Yes
API Analytics,Latency Tracking,Record API response times for performance analysis,Shipped,No
API Analytics,Task Detection & Assessment,Auto-detect AI task candidates from API activity with confidence scoring — approve or fail with notes,Shipped,Yes
API Analytics,Baseline Estimator,Calculate token savings from context caching strategies,Shipped,Yes
API Analytics,Analytics Dashboard,Command stats and error rates and API usage and timing in a unified dashboard view,Shipped,No
API Analytics,Repo-Level Aggregated Metrics,"Per-repository stats (commands, success rate, AI runs, tokens, cost, providers, top tools) in Debug Console Repos tab, Data Explorer, and hover card",Shipped,Yes
API Analytics,Timeline Visualization,Visual timeline scrubber showing command blocks and metrics over time,Shipped,No
API Analytics,Provider Filtering,Include or exclude specific API providers from capture,Shipped,No
Tab Management,Multi-Tab Interface,"Unlimited tabs per window — Cmd+T to create, Cmd+1–9 to jump",Shipped,No
Tab Management,Tab Renaming,Custom tab names via Cmd+Shift+R,Shipped,No
Tab Management,Tab Colors,"12+ colors: blue, teal, green, red, orange, pink, purple, yellow, gray, and more",Shipped,No
Tab Management,Tab Reordering,Drag tabs or Cmd+Opt+Shift+[/] to move left/right — center-crossing snap thresholds keep sibling motion aligned with the grabbed tab,Shipped,No
Tab Management,Git Branch Indicator,Current git branch displayed in the tab — no need to type git branch,Shipped,No
Tab Management,Directory Path Display,Working directory visible in the tab title,Shipped,No
Tab Management,Last Command Badge,Tab shows last command name with duration and exit status,Shipped,No
Tab Management,Broadcast Input,Type once and send to all tabs — with per-tab exclusion and visual indicator,Shipped,No
Tab Management,Close Other Tabs,Cmd+Opt+W to close all tabs except the current one,Shipped,No
Tab Management,New Tab Position,Configure where new tabs appear (after current or at end),Shipped,No
Tab Management,Background Tab Suspension,Inactive tabs suspend rendering after configurable delay to save resources,Shipped,No
Split Panes,Horizontal Split,Cmd+Opt+H — split side-by-side with draggable dividers,Shipped,No
Split Panes,Vertical Split,Cmd+Opt+V — stack panes vertically,Shipped,No
Split Panes,Nested Splits,Arbitrary nesting depth via binary tree layout controller,Shipped,No
Split Panes,Built-in Text Editor,"Full editor in a split pane — syntax highlighting, line numbers, bracket matching, find/replace",Shipped,Yes
Split Panes,Repository Pane,"Full git UI in a split pane (⌘⌥B) — session-aware: shows agent-touched files with diff stats when AI active, resets after push. Stage/unstage, commit (⌘Enter), branch, push/pull, stash, history with search, conflict resolution, ahead/behind, hover tooltips, commit chips",Shipped,Yes
Split Panes,Click-to-Copy Document Name,"Click the file name in the editor pane header to copy it to the clipboard",Shipped,No
Split Panes,Multi-Language Syntax,"Syntax highlighting for HTML, CSS, JavaScript, Python, and more",Shipped,No
Split Panes,Terminal + Editor Side-by-Side,Edit code and run it in the same window — no app switching,Shipped,Yes
Window Management,Overlay / Floating Terminal,Floating terminal layer on top of all other apps with blur background — always accessible,Shipped,Yes
Window Management,Dropdown Terminal (Quake-Style),Ctrl+` to summon a dropdown terminal from anywhere — configurable height,Shipped,No
Window Management,Multiple Windows,Cmd+N for multiple independent terminal windows,Shipped,No
Window Management,Adjustable Window Opacity,Transparent terminal windows — see through to your code,Shipped,No
Window Management,Fullscreen Mode,Native macOS fullscreen with configurable toolbar behavior,Shipped,No
Window Management,Minimal Mode,Strip all chrome — maximum terminal space with zero distraction,Shipped,No
Window Management,Window Position Memory,Windows reopen exactly where you left them per workspace,Shipped,No
Window Management,Session Restoration,All windows and tabs restored on relaunch,Shipped,No
Window Management,Menu Bar Only Mode,Run as a menu bar app — no Dock icon needed,Shipped,No
SSH, Profiles & Remote,Remote Background Approval Mode,"When Chau7 Remote backgrounds, the session briefly stays alive in approvals-only mode instead of streaming full terminal output",Shipped,Yes
SSH, Profiles & Remote,Remote Push Approval Delivery,"Relay-backed APNs push registration and wakeups for new approvals and interactive prompts on the Chau7 Remote iPhone app",Shipped,Yes
SSH, Profiles & Remote,Experimental Rust iPhone Renderer,"Optional Rust-backed terminal grid renderer for Chau7 Remote on iPhone, with text fallback retained",Shipped,Yes
SSH, Profiles & Remote,Selected-Tab Remote Streaming,"macOS streams terminal output and snapshots only for the tab currently selected on iPhone; background tabs stay metadata/activity/approvals-only until switched to",Shipped,Yes
SSH, Profiles & Remote,Remote iPhone Profiling Hooks,"The iPhone app emits os.signpost intervals for frame processing, output append, and ANSI stripping so receive/render lag can be measured in Instruments",Shipped,No
Search & Find,Find Overlay,Cmd+F — search terminal output with match highlighting,Shipped,No
Search & Find,Regex Search,Toggle regex mode for advanced pattern matching,Shipped,No
Search & Find,Case Sensitivity Toggle,Persistent case-sensitive search preference,Shipped,No
Search & Find,Find Next/Previous,Cmd+G / Cmd+Shift+G to cycle through matches,Shipped,No
Search & Find,Use Selection for Find,Cmd+E to populate search with current selection,Shipped,No
Search & Find,Visual Match Highlighting,All matches highlighted across terminal output,Shipped,No
Command Safety,Dangerous Command Guard,"Intercepts rm -rf, dd, mkfs, and other destructive commands — confirms before execution",Shipped,Yes
Command Safety,Custom Danger Patterns,Add your own regex patterns to the danger guard,Shipped,No
Command Safety,Visual Danger Highlighting,Dangerous commands visually highlighted in output,Shipped,No
Command Safety,Path Click Handler,"Cmd+click file paths and URLs — configurable action (browser, editor, Finder) with line:column support",Shipped,No
Keyboard & Clipboard,Fully Customizable Keybindings,Remap any shortcut with interactive editor and conflict detection,Shipped,No
Keyboard & Clipboard,Vim & Emacs Presets,One-click keybinding presets,Shipped,No
Keyboard & Clipboard,Clipboard History,"Cmd+Shift+V — last 100 clipboard entries with LRU eviction, pinning, and quick paste",Shipped,No
Keyboard & Clipboard,Paste Escaping,"Auto-escape shell-sensitive characters ($, backticks, quotes, backslash) on paste",Shipped,No
Snippets,Snippet Manager,"Cmd+; to open — create, edit, delete, import, export snippets",Shipped,No
Snippets,Three Scopes,"Global (user), per-SSH-profile, and per-repo snippets",Shipped,No
Snippets,Placeholder Support,"${cursor} and ${selection} placeholders for smart insertion",Shipped,No
Snippets,Repo-Level Snippets,.chau7/config.toml in your repo — share snippets with your team,Shipped,No
History & Bookmarks,Per-Tab & Global History,"Arrow keys for local history, Cmd+Up/Down for cross-tab",Shipped,No
History & Bookmarks,SQLite-Backed Persistence,History survives restarts — searchable and fast,Shipped,No
History & Bookmarks,Session Analytics,"Command frequency, timing, and success rates",Shipped,No
History & Bookmarks,Terminal Bookmarks,Pin important positions in your terminal and navigate back instantly,Shipped,No
Notifications,Desktop Notifications,"Native macOS notifications for task completion, failures, permission requests",Shipped,No
Notifications,Dock Badge & Bounce,Animated dock badge and critical/non-critical bounce for key events,Shipped,No
Notifications,Configurable Sounds,"Alert sounds (Glass, Purr, etc.) with volume control",Shipped,No
Notifications,Command Idle Detection,"Notify when a command has been idle beyond configurable threshold. Fires once per session, resets only on real user activity.",Shipped,No
Notifications,Auto Tab Styling,Tabs change color on events — auto-clear after configurable timeout, clear persistent approval styling immediately on approval resolution, and style all tabs affected by a file conflict,Shipped,No
Notifications,Rate Limiting,Prevent notification spam with configurable thresholds scoped per trigger and tab/session/directory identity,Shipped,No
Notifications,Per-Trigger Control,Enable/disable and customize actions for each event type individually,Shipped,No
Notifications,Isolated Notification Suppression,Isolated test mode disables notification-center integration to avoid side effects and startup crashes,Shipped,Yes
SSH & Profiles,SSH Connection Manager,"Save hosts, ports, identity files, jump hosts (ProxyJump) — all in one place",Shipped,No
SSH & Profiles,Auto-Import from ~/.ssh/config,Watches SSH config and imports new hosts automatically,Shipped,No
SSH & Profiles,Profile Auto-Switching,"Settings change automatically based on directory, SSH host, or environment variables",Shipped,Yes
SSH & Profiles,Per-Profile Customization,"Each profile gets its own color scheme, shell, font, and keybindings",Shipped,No
Remote & Collaboration,Remote Terminal Viewing,Share a read-only view of your terminal — others see what you see,Experimental,Yes
Remote & Collaboration,Viewer Approval Flow,Approve or deny viewer connections — you control access,Experimental,No
Remote & Collaboration,Cloudflare Relay,Cloudflare Workers relay — no port forwarding required,Experimental,Yes
Remote & Collaboration,Remote Activity Projection,macOS reduces AI event streams into one remote activity state for clients,Shipped,Yes
Remote & Collaboration,iPhone Live Activity Support,Chau7 Remote renders the current AI task in a native Live Activity and Dynamic Island,Shipped,Yes
Remote & Collaboration,Interactive Remote Prompts,"Detected Claude and Codex terminal prompts appear in the iPhone Approvals tab with option buttons that reply to the correct tab. Destructive options require a second confirmation before sending.",Shipped,Yes
Remote & Collaboration,Session Recording,Record terminal sessions with timestamps for replay,Shipped,No
Remote & Collaboration,Timeline Scrubber,Scrub through recorded sessions like a video,Shipped,No
Appearance,Full Color Schemes,"16 ANSI colors + background, foreground, cursor, selection — fully customizable",Shipped,No
Appearance,Light / Dark / System,Respects macOS appearance or override manually,Shipped,No
Appearance,100+ Monospace Fonts,System fonts plus popular coding fonts — or use any installed font,Shipped,No
Appearance,Adjustable Font Size,"8–72pt with per-tab zoom (Cmd++/-, 50–200%)",Shipped,No
Appearance,Line Spacing,Fine-tune line height for your preference,Shipped,No
Appearance,Command Blocks,"Colored left-border gutter marks — green (success), red (fail), blue (running)",Shipped,Yes
Appearance,Line Timestamps,Optional timestamps on each terminal line in multiple formats,Shipped,No
Appearance,JSON Pretty-Print,Optional auto-formatting of JSON output in terminal,Shipped,No
Settings,Comprehensive Settings UI,Tabbed interface with fuzzy search across 100+ settings,Shipped,No
Settings,Settings Profiles,"Save, load, export, and import named configurations",Shipped,No
Settings,Per-Folder Config,.chau7/config.toml in any repo — project-specific settings,Shipped,No
Settings,Config File Watcher,Auto-reload on config changes — no restart needed,Shipped,No
Settings,iCloud Sync,Optional iCloud sync of settings across devices,Shipped,No
Settings,100+ Feature Flags,Fine-grained toggle control over every behavior,Shipped,No
Settings,Isolated Test App Build,Build a separate Chau7 Test.app with isolated storage and keychain namespaces,Shipped,Yes
Migration,Terminal.app Import,Auto-detect and import existing Terminal.app profiles,Shipped,No
Migration,iTerm2 Import,Import iTerm2 profiles and color schemes,Shipped,No
Migration,Guided First-Run Setup,Walk through initial configuration on first launch,Shipped,No
Migration,Power User Tips,Contextual tips surface as you use the app,Shipped,No
Accessibility,VoiceOver Support,Full macOS accessibility integration,Shipped,No
Accessibility,High Contrast & Reduced Motion,Respects system accessibility preferences,Shipped,No
Accessibility,4 Languages,"English, French, Arabic, Hebrew — with proper RTL layout",Shipped,No
Accessibility,Runtime Language Switching,Change language without restarting the app,Shipped,No
Scripting,JSON-RPC API,"Unix socket API for external automation — control tabs, run commands, query history, manage snippets",Shipped,Yes
Scripting,Settings API,Query and modify settings programmatically from any language,Shipped,No
Debugging,Data Explorer Refresh,Reopening the singleton Data Explorer window rebuilds its SwiftUI content so history and telemetry reload,Shipped,No
Debugging,Session Explorer Metadata,Sessions Explorer rows derive provider and repo labels from the latest run for each session,Shipped,No
Debugging,Debug Console,"Cmd+Shift+D — live log viewer with State, Contexts, Events, Logs, and Report tabs",Shipped,No
Debugging,State Inspector,View live app state: tabs and sessions and models,Shipped,No
Debugging,Feature Profiler,Per-feature timing metrics with os.signpost integration,Shipped,No
Debugging,Structured Logging,"Category-based logging with correlation IDs (App, Tabs, Terminal, Render, etc.)",Shipped,No
Debugging,Privacy-First Bug Report Dialog,"In-app issue reporter (⌥⌘I) with all sensitive data off by default, per-toggle tab pickers, live markdown preview, HTTPS-only private relay submission, tab title redaction, background history capture, and hardened rate limiting",Shipped,Yes
Debugging,Issue Reporting Privacy Page,"GDPR-compliant sub-processor disclosure (Cloudflare, GitHub) with data categories, retention, legal basis (Art. 6(1)(f)), DPA links, and data subject rights",Shipped,Yes
Debugging,Verbose & Trace Modes,CHAU7_VERBOSE=1 and CHAU7_TRACE=1 for deep diagnostics,Shipped,No
Command Palette,Command Palette,Cmd+Shift+P for fuzzy-searchable command palette (VS Code style),Shipped,No
Monitoring,Dev Server Detection,Auto-detect running dev servers by port scanning,Shipped,No
Monitoring,Git Change Detection,Notifications on git branch changes,Shipped,No
Monitoring,Shell Event Pattern Matching,Custom regex patterns to watch for in terminal output,Shipped,No
Monitoring,Directory Change Detection,Notify on working directory changes,Shipped,No
Monitoring,Output Pattern Watching,Define custom output patterns to trigger actions,Shipped,No
Status Bar,Menu Bar Status Item,Quick access icon with active/paused indicator,Shipped,No
Status Bar,Popover Panel,"Recent events, active sessions, and quick toggles in a popover",Shipped,No
Window,Menu Bar Only Mode,Hide from Dock and Cmd+Tab — activation policy .accessory,Shipped,No
Window,Floating Window Mode,Keep terminal above other apps — .floating window level,Shipped,No
Terminal,Cursor Blink Rate,Configurable blink interval (0.3–2.0s) and custom cursor color (hex),Shipped,No
Terminal,Whole-Word Search,Terminal search toggle wraps query in word boundary anchors,Shipped,No
Terminal,Visual Bell + Rate Limiting,Screen flash on bell with configurable minimum interval between triggers,Shipped,No
Editor,Angle Bracket Matching,"Match <> pairs and jump-to-matching-bracket",Shipped,No
Editor,Relative/Hybrid Line Numbers,"Absolute, relative, or hybrid line numbers with dynamic gutter width",Shipped,No
Profiles,Context-Aware Auto-Switch,Auto-switch settings profile on directory change based on configured rules,Shipped,No
Settings,Keybindings JSON Export/Import,Standalone export/import for keybindings separate from full settings,Shipped,No
Networking,Custom API Pricing,~/.chau7/pricing.json overrides built-in model pricing table,Shipped,No
Terminal,OSC 133 Shell Integration,"FinalTerm shell integration: prompt/command/output region markers with exit codes, parsed in Rust. Suppresses heuristic fallbacks when present.",Shipped,Yes
Terminal,File Drag & Drop,"Drop files to paste paths; Option+drop images for base64 data URIs for AI CLIs",Shipped,Yes
Terminal,Markdown Runbooks,"Open .md in editor pane with executable code blocks and Run All button",Shipped,Yes
Terminal,Native Text Pane Edit Shortcuts,"Split-pane text editors preserve standard macOS cut, copy, and paste shortcuts before terminal-specific fallbacks run",Shipped,Yes
Terminal,Show Changed Files,"Git diff snapshot per command (OSC 133) shows files modified by AI sessions (Cmd+Option+G)",Shipped,Yes
Terminal,Idle Tabs Dropdown,"Tabs idle beyond configurable threshold (default 10 min) grouped into a dropdown chip in the tab bar with hover card support",Shipped,Yes
Terminal,Repository Tab Grouping,"Group tabs by git repo (Off/Auto/Manual). Inline repo-name tag chip with connecting line overlay. Suppresses redundant repo path in grouped tab titles.",Shipped,No
Terminal,Split Pane File Preview,"Read-only file viewer with syntax highlighting and image support (Cmd+Opt+P). Lighter than full editor.",Shipped,No
Terminal,Split Pane Diff Viewer,"Unified git diff view with colored additions/deletions, dual line numbers, Working/Staged toggle (Cmd+Opt+Shift+D)",Shipped,No
Terminal,chau7:// URL Scheme,"Open SSH sessions, run commands, change directory, or open files from external apps",Shipped,Yes
Terminal,Keyboard Shortcut Standardization,"All Chau7-specific shortcuts use Cmd+Option; tab selection internationalized (Cmd+1-9)",Shipped,No
API Analytics,Streaming Metadata Fix,"Anthropic/OpenAI streaming responses correctly parsed for model, tokens, and cost",Shipped,No
Safety,Process Exit Confirmation,Cmd+Q lists running process names and confirms before quitting,Shipped,No
Terminal,Font Ligature Rendering,"Multi-character ligature shaping via CoreText (Fira Code, JetBrains Mono, etc.). Configurable toggle.",Shipped,No
API Analytics,TTFT Latency Tracking,"Time-to-first-token measured per API call via firstByteReader wrapper, stored in SQLite",Shipped,Yes
Safety,Unicode Homoglyph Detection,Flags Cyrillic/fullwidth lookalike characters in commands,Shipped,No
Safety,Multiline Paste Protection,Flags pasted commands spanning multiple lines,Shipped,No
